,lower_threshold,mean_rel_error,std_error
0,50,0.17361414571186445,0.18981576991110186
1,100,0.18066450819444443,0.24172883327531744
2,150,0.08960771870689654,0.25212201863275585
3,200,0.052202581162162164,0.13938202366438215
4,250,0.02646967887378641,0.10900034566386962
